year,mean,lower,upper
1,0.2639400100106103,0.2580236573030167,0.26929399735050474
2,0.26386400886014955,0.25767880793435555,0.26978017641309093
3,0.26465689988549007,0.25792637078256747,0.2715749388058505
4,0.26527795321838316,0.2579146469388009,0.27313517783696417
5,0.2659721636646263,0.2582468827664726,0.2747603616677534
6,0.26676165119733203,0.2587008418064088,0.2768043808398799
7,0.2676193612108097,0.25873148666679285,0.2789496528961192
8,0.2686317967717511,0.25918490213719564,0.2811587658873251
9,0.26897382533946096,0.2592676143930318,0.2819741088522001
10,0.26897382533946096,0.2592676143930318,0.2819741088522001
11,0.26897382533946096,0.2592676143930318,0.2819741088522001
