year,mean,lower,upper
1,1.3907384965546223,1.2089792276106082,1.4197756179730867
2,1.3672024643249665,1.0818932322823989,1.413005402355896
3,1.3473554594288795,0.9866074856733806,1.4060751230286583
4,1.3272925191016045,0.8963425608598845,1.3988853591473023
5,1.3078534091532348,0.8152299649856648,1.3916165509971634
6,1.2887528618286048,0.7420973034688573,1.3840874372571002
7,1.2660732465673339,0.6653837152987321,1.3739848877765706
8,1.248246472759581,0.6120136938833228,1.36526503900985
9,1.2271226810982898,0.5563317565209032,1.353871174882734
10,1.201770472996556,0.4978926211848194,1.3395333933040776
11,1.190909769535876,0.4754811572843343,1.333202950341412
