year,mean,lower,upper
1,1.439514140572385,1.213218008180438,1.4764067657315114
2,1.4224616683457822,1.0701478683623278,1.469078002643817
3,1.4075472957947823,0.9651127403215602,1.461997719178894
4,1.3924721279400263,0.867915276553884,1.4548689079999144
5,1.3777783654073135,0.7824612572564175,1.4497028111547043
6,1.3631876315985305,0.7070317295162383,1.4442364853930045
7,1.345272197523243,0.6292503772970944,1.4348196845512435
8,1.3307880680772786,0.57606964301317,1.4265267755367848
9,1.313059253442484,0.5213237796268752,1.415429149928039
10,1.29143059938512,0.4651988628814883,1.401463864267516
11,1.2820605127093345,0.44406954293103457,1.3953112862640178
