year,mean,lower,upper
1,0.7950035355630829,0.23353680603725066,1.7564973398778925
2,0.7942243731546019,0.23464052496048998,1.751318123090077
3,0.7932512620383465,0.23609003232519415,1.7445844678808238
4,0.7925938381325992,0.2371189517117184,1.7398509827675224
5,0.792005900503288,0.2380767157328212,1.735478968671296
6,0.7912009164092776,0.23945184346751508,1.7292585715310025
7,0.7905228945047068,0.24067396617505318,1.7237857488803303
8,0.7898620502010959,0.24192863689145272,1.718220683810543
9,0.7894356108122381,0.24277533080002917,1.7144954504199252
10,0.7889069747091402,0.24386978069817472,1.7097158590850856
11,0.7880335875487299,0.24580190776102964,1.7013749122450426
